year,population
1960,180671000
1961,183691000
1962,186538000
1963,189242000
1964,191889000
1965,194303000
1966,196560000
1967,198712000
1968,200706000
1969,202677000
1970,205052000
1971,207661000
1972,209896000
1973,211909000
1974,213854000
1975,215973000
1976,218035000
1977,220239000
1978,222585000
1979,225055000
1980,227225000
1981,229466000
1982,231664000
1983,233792000
1984,235825000
1985,237924000
1986,240133000
1987,242289000
1988,244499000
1989,246819000
1990,249623000
1991,252981000
1992,256514000
1993,259919000
1994,263126000
1995,266278000
1996,269394000
1997,272657000
1998,275854000
1999,279040000
2000,282162411
2001,284968955
2002,287625193
2003,290107933
2004,292805298
2005,295516599
2006,298379912
2007,301231207
2008,304093966
2009,306771529
2010,309321666
2011,311556874
2012,313830990
2013,315993715
2014,318301008
2015,320635163
2016,322941311
2017,324985539
2018,326687501
2019,328239523
